run number,initial-population,growth-rate,index,step,count turtles,survival rate,sugar of turtles,vision of turtles,metabolism of turtles,gini-index
226,1000,max,1000_max,3000,608,0.608,2891.088816,3.779605263,1.972039474,0.500757215
228,1000,max,1000_max,3000,603,0.603,2864.946932,3.726368159,1.978441128,0.506460658
229,1000,max,1000_max,3000,574,0.574,3003.527875,3.726480836,1.961672474,0.523762154
230,1000,max,1000_max,3000,577,0.577,3154.568458,3.757365685,1.904679376,0.48937295
231,1000,max,1000_max,3000,586,0.586,2891.858362,3.769624573,1.991467577,0.523080381
232,1000,max,1000_max,3000,615,0.615,3062.978862,3.67804878,1.926829268,0.496836971
233,1000,max,1000_max,3000,602,0.602,2879.813953,3.72923588,1.973421927,0.525321015
234,1000,max,1000_max,3000,591,0.591,2957.993232,3.727580372,2.005076142,0.513716046
235,1000,max,1000_max,3000,584,0.584,2942.708904,3.671232877,1.965753425,0.512949054
236,1000,max,1000_max,3000,593,0.593,2938.237774,3.792580101,1.959527825,0.504742747
237,1000,max,1000_max,3000,586,0.586,2819.571672,3.674061433,1.969283276,0.545617963
238,1000,max,1000_max,3000,596,0.596,3135.427852,3.728187919,1.904362416,0.496671417
239,1000,max,1000_max,3000,608,0.608,2885.981908,3.730263158,1.953947368,0.509238864
240,1000,max,1000_max,3000,628,0.628,3037.988854,3.729299363,1.907643312,0.495621041
