Latitude,Longitude
51.473087,-0.100086
51.447289,-0.100754
51.459294,-0.114651
51.488077,-0.039945
51.479636,-0.028857
51.439216,-0.127694
51.435733,-0.056286
51.487295,-0.107835
51.46792,-0.127109
51.46274,-0.082607
51.47352,-0.133187
51.429723,-0.10495
51.42824,-0.082325
51.474148,-0.113434
51.444229,-0.105558
51.425533,-0.136999
51.493139,-0.024313
51.485731,-0.06214
51.476693,-0.055078
51.428172,-0.065066
51.44714,-0.115439
51.469971,-0.092051
51.429068,-0.121808
51.479277,-0.116966
51.457519,-0.225633
51.443461,-0.203039
51.419806,-0.166112
51.484021,-0.179337
51.485902,-0.21514
51.427072,-0.170165
51.463171,-0.150856
51.435591,-0.161149
51.453681,-0.142129
51.479252,-0.245254
51.445823,-0.1888
51.423186,-0.167214
51.473446,-0.167849
51.475222,-0.153781
51.461951,-0.210144
51.473496,-0.215956
51.457862,-0.237006
51.431391,-0.177258
51.465406,-0.228653
51.417524,-0.185345
51.440093,-0.195113
51.450433,-0.187394
51.468146,-0.151015
51.424325,-0.207702
51.470627,-0.169273
51.472172,-0.24744
51.431949,-0.214093
51.441356,-0.174429
51.422673,-0.19731
51.470508,-0.206958
51.425623,-0.155177
51.457628,-0.200942
51.450924,-0.246311
51.474677,-0.200243
51.479675,-0.190786
51.484792,-0.233259
51.457829,-0.163394
51.524958,-0.168003
51.576372,-0.075591
51.569399,-0.081917
51.564373,-0.080354
51.554473,-0.079257
51.547706,-0.078993
51.509371,-0.004142
51.509133,-0.022468
51.479673,-0.032096
51.471285,-0.025301
51.461117,-0.187475
51.527762,-0.162167
51.524216,-0.14824
51.524541,-0.145473
51.524375,-0.150944
51.523997,-0.156624
51.535618,-0.156775
51.5271,-0.145802
51.49349,-0.079041
51.489321,-0.07318
51.481761,-0.033317
51.479736,-0.026217
51.546074,-0.050909
51.540355,-0.066714
51.541544,-0.08381
51.532653,-0.103374
51.536414,-0.171998
51.543587,-0.182253
51.456083,-0.149602
51.493853,-0.094123
51.488299,-0.090984
51.479334,-0.089342
51.467999,-0.08469
51.424794,-0.081678
51.542356,-0.028628
51.53776,-0.03125
51.533892,-0.03332
51.532522,-0.027266
51.528399,-0.032879
51.46842,-0.136505
51.451948,-0.151396
51.44672,-0.145491
51.428581,-0.137537
51.422308,-0.137173
51.477101,-0.12597
51.452175,-0.157849
51.426864,-0.188615
51.424777,-0.198493
51.42057,-0.193337
51.526269,-0.046955
51.522738,-0.054169
51.45303,-0.158419
51.482034,-0.118984
51.462417,-0.1396
51.531355,-0.031093
51.522561,-0.201412
51.501948,-0.184285
51.536952,-0.154673
51.489841,-0.231797
51.510029,-0.182955
51.518703,-0.178084
51.563395,-0.17865
51.517944,-0.243234
51.499399,-0.19865
51.555723,-0.149773
51.526533,-0.216507
51.555033,-0.02632
51.569758,-0.10626
51.532965,-0.040785
51.500568,-0.058831
51.551196,-0.029689
51.523757,-0.0306
51.552027,-0.063969
51.504452,-0.027541
51.557805,-0.106685
51.49627,-0.01696
51.513563,0.002599
51.549065,-0.10448
51.530233,-0.006747
51.532321,-0.067602
51.51303,-0.036092
51.498312,-0.036249
51.562439,-0.051898
51.533599,-0.04915
51.558049,-0.090128
51.519278,-0.034886
51.573331,-0.059109
51.542532,-0.041845
51.516478,-0.021848
51.499958,-0.045947
51.564914,-0.046641
51.533841,-0.094544
51.536431,-0.019094
51.507657,-0.059034
51.535504,-0.121827
51.465729,-0.096072
51.493401,-0.014808
51.483728,-0.107436
51.492006,-0.051185
51.472101,-0.022486
51.457269,-0.064339
51.480868,-0.072687
51.482093,-0.085396
51.441401,-0.091429
51.488795,-0.012084
51.478632,-0.037613
51.472935,-0.105694
51.462193,-0.024757
51.454966,-0.111706
51.424763,-0.09802
51.468354,-0.212514
51.481201,-0.166891
51.440461,-0.22451
51.483072,-0.186604
51.47391,-0.177407
51.461403,-0.194964
51.46846,-0.179107
51.436606,-0.231234
51.430721,-0.147692
51.447927,-0.222824
51.451848,-0.193455
51.415831,-0.182867
51.487297,-0.230023
51.473664,-0.180671
51.440137,-0.13757
51.450515,-0.167818
51.499857,-0.179916
51.550882,-0.139339
51.476676,-0.036804
51.477572,-0.028572
51.510945,-0.17247
51.504005,-0.153065
51.512163,-0.165763
51.505774,-0.173008
51.502662,-0.159733
51.502635,-0.151752
51.478063,-0.019305
51.56722,-0.044205
51.567609,-0.051316
51.5587,-0.038525
51.559939,-0.044892
51.460681,-0.087602
51.527796,-0.040358
51.436206,-0.14373
51.45968,-0.148449
51.433196,-0.145592
51.428783,-0.188237
51.428399,-0.187288
51.488208,-0.054833
51.485391,-0.049264
51.423891,-0.18364
51.458588,-0.144794
51.433284,-0.143186
51.561369,-0.010118
51.612488,0.023749
51.561269,0.150933
51.573296,0.15026
51.647593,-0.040834
51.544312,0.015011
51.605519,-0.024825
51.60413,0.136105
51.592769,-0.069788
51.533188,0.05544
51.526265,0.165343
51.513824,0.060736
51.450767,0.057651
51.389072,-0.056971
51.46323,-0.010532
51.462018,0.111711
51.377715,0.108907
51.395332,0.025822
51.483027,0.062113
51.355376,-0.035934
51.42975,-0.307066
51.356777,-0.311553
51.40452,-0.119722
51.38133,-0.195903
51.328787,-0.127214
51.407432,-0.16898
51.406991,-0.192175
51.401907,-0.269378
51.418807,-0.279325
51.448803,-0.353004
51.369078,-0.134751
51.426684,-0.256215
51.520868,-0.416451
51.511306,-0.367612
51.4755,-0.391167
51.47509,-0.339184
51.4551,-0.422556
51.46094,-0.313614
51.513811,-0.299037
51.49577,-0.324444
